name,description
The French Revolution,"When France chopped off their king's head and went crazy"
The Moon Landing,"When humans first walked on the moon in 1969"
The Fall of the Berlin Wall,"When East and West Germany reunited in 1989"
The Titanic Sinking,"Unsinkable ship hit an iceberg on its first voyage"
The Black Death,"Plague that killed a third of Europe in the 1300s"
The Boston Tea Party,"When Americans dumped tea into the harbor to protest taxes"
D-Day,"Allied invasion of Normandy beaches in WWII"
The Gold Rush,"When everyone rushed to California to find gold in 1849"
The Industrial Revolution,"When machines replaced handmade everything"
The Renaissance,"When Europe rediscovered art and science after the Dark Ages"
The Assassination of JFK,"When the US president was shot in Dallas"
The Signing of the Magna Carta,"When English nobles forced the king to share power"
The Pompeii Eruption,"When Mount Vesuvius buried an entire Roman city in ash"
The Trojan Horse,"Greeks hiding in a wooden horse to sneak into Troy"
The Salem Witch Trials,"When Massachusetts went crazy accusing people of witchcraft"
The Building of the Pyramids,"Ancient Egyptians stacking giant stones for tombs"
The Hindenburg Disaster,"When a giant airship exploded while landing"
The Running of the Bulls,"Spanish festival where people run from angry bulls"
The Silk Road,"Ancient trade route connecting China to Europe"
The Cuban Missile Crisis,"When the US and USSR almost started nuclear war"
The Crusades,"Medieval wars to capture the Holy Land"
The Prohibition Era,"When America banned alcohol and created speakeasies"
The Spanish Inquisition,"When the Catholic Church tortured heretics in Spain"
The California Gold Rush,"1849 mass migration to find gold out West"
The Discovery of Penicillin,"When moldy bread accidentally saved millions of lives"
The Roswell Incident,"When a UFO allegedly crashed in New Mexico"
The Great Fire of London,"1666 fire that destroyed most of the city"
The Boxer Rebellion,"Chinese uprising against foreign influence in 1900"
The Trail of Tears,"Forced relocation of Native Americans from their lands"
The Storming of the Bastille,"When French revolutionaries attacked a prison"
The Partition of India,"When British India split into India and Pakistan"
The Rwandan Genocide,"1994 mass killing in Africa that shocked the world"
The First Flight,"When the Wright Brothers flew at Kitty Hawk"
The Chernobyl Disaster,"When a Soviet nuclear reactor exploded"
The Assassination of Archduke Franz Ferdinand,"The spark that started World War I"
The Invention of the Printing Press,"When Gutenberg made books available to everyone"
The Reign of Terror,"When the French Revolution started executing everyone"
The Opium Wars,"When Britain forced China to accept drug trade"
The Scramble for Africa,"When European powers divided up Africa"
The Hiroshima Bombing,"First atomic bomb dropped on a city"
