prompt
Taylor Swift
Beyoncé
Michael Jackson
Elvis Presley
Madonna
Lady Gaga
Bruno Mars
Ed Sheeran
Ariana Grande
Justin Bieber
Katy Perry
Rihanna
Drake
Kanye West
Eminem
Snoop Dogg
Jay-Z
Adele
Billie Eilish
The Beatles
Tom Hanks
Leonardo DiCaprio
Brad Pitt
Will Smith
Dwayne Johnson
Robert Downey Jr
Johnny Depp
Morgan Freeman
Denzel Washington
Tom Cruise
Meryl Streep
Julia Roberts
Sandra Bullock
Jennifer Lawrence
Angelina Jolie
Scarlett Johansson
Emma Watson
Oprah Winfrey
Ellen DeGeneres
Jimmy Fallon
Albert Einstein
Abraham Lincoln
George Washington
Martin Luther King Jr
Barack Obama
Elon Musk
Bill Gates
Steve Jobs
Mark Zuckerberg
Walt Disney
Michael Jordan
LeBron James
Serena Williams
Tiger Woods
Muhammad Ali
Usain Bolt
Cristiano Ronaldo
Lionel Messi
Tom Brady
Simone Biles
