name,description
The Eiffel Tower,"Iron tower in Paris that looks like the letter A"
The Great Wall of China,"Ancient wall so big you can see it from space (maybe)"
The Colosseum,"Roman arena where gladiators fought to the death"
The Pyramids of Giza,"Giant triangular tombs built by ancient Egyptians"
The Statue of Liberty,"Giant green lady holding a torch in New York harbor"
Machu Picchu,"Lost Incan city hidden high in the Peruvian mountains"
The Taj Mahal,"White marble mausoleum built for love in India"
Big Ben,"Famous clock tower in London that goes bong"
The Leaning Tower of Pisa,"Italian tower that's been falling over for centuries"
Mount Everest,"Tallest mountain in the world, in the Himalayas"
The Grand Canyon,"Giant hole in Arizona carved by a river"
Niagara Falls,"Massive waterfalls on the US-Canada border"
The Amazon Rainforest,"World's largest jungle, lungs of the Earth"
The Sahara Desert,"Massive African desert full of sand dunes"
The Great Barrier Reef,"World's largest coral reef off Australia"
Stonehenge,"Mysterious circle of giant rocks in England"
The Vatican,"Tiny country inside Rome where the Pope lives"
The Bermuda Triangle,"Mysterious ocean area where ships disappear"
Mount Fuji,"Iconic snow-capped volcano in Japan"
The Sydney Opera House,"Australian building that looks like sailboats"
The Golden Gate Bridge,"Famous red suspension bridge in San Francisco"
Christ the Redeemer,"Giant Jesus statue overlooking Rio de Janeiro"
The Forbidden City,"Chinese emperor's palace complex in Beijing"
Petra,"Ancient city carved into pink rock in Jordan"
The Acropolis,"Ancient Greek ruins on a hill in Athens"
Area 51,"Secret US military base rumored to have aliens"
The Dead Sea,"Super salty lake where you float without trying"
Victoria Falls,"Massive waterfall in Africa, the smoke that thunders"
The Louvre,"Paris museum where Mona Lisa lives"
Angkor Wat,"Massive ancient temple complex in Cambodia"
The Kremlin,"Russian fortress in Moscow where Putin works"
The Panama Canal,"Shortcut for ships between Atlantic and Pacific"
Easter Island,"Remote island with giant stone head statues"
The Northern Lights,"Colorful lights dancing in Arctic skies"
The Mariana Trench,"Deepest point in the ocean, darker than space"
Hollywood,"LA neighborhood where movies are made"
The Sistine Chapel,"Vatican chapel with Michelangelo's ceiling painting"
Alcatraz,"Infamous prison island in San Francisco Bay"
The Great Sphinx,"Lion body, human head statue guarding the pyramids"
The Serengeti,"African savanna famous for animal migrations"
