name,description
Zeus,"Greek king of the gods, throws lightning bolts, cheats on his wife"
Medusa,"Greek monster with snakes for hair, turns people to stone"
Thor,"Norse god of thunder with a big hammer"
Poseidon,"Greek god of the sea with a trident"
Athena,"Greek goddess of wisdom, born from Zeus's head"
Loki,"Norse trickster god, shapeshifter, causes chaos"
Hercules,"Greek hero who did 12 impossible labors"
Aphrodite,"Greek goddess of love, born from sea foam"
Hades,"Greek god of the underworld, kidnapped Persephone"
Odin,"Norse all-father god, gave up an eye for wisdom, has two ravens"
Anubis,"Egyptian jackal-headed god of the dead"
Cupid,"Roman god of love who shoots arrows"
The Minotaur,"Greek bull-headed monster trapped in a labyrinth"
Achilles,"Greek warrior with one weak heel"
Apollo,"Greek god of the sun, music, and poetry"
Pandora,"Greek woman who opened a box of evils"
Icarus,"Greek boy who flew too close to the sun"
Ra,"Egyptian sun god with a falcon head"
Cerberus,"Greek three-headed dog guarding the underworld"
Pegasus,"Greek winged horse"
The Cyclops,"Greek one-eyed giant"
Dionysus,"Greek god of wine and parties"
The Phoenix,"Mythical bird that rises from its own ashes"
King Midas,"Greek king whose touch turned things to gold"
Ares,"Greek god of war, not very popular"
Narcissus,"Greek man who fell in love with his own reflection"
The Sphinx,"Egyptian creature with lion body and human head, loves riddles"
Odysseus,"Greek hero who took 10 years to get home"
Freya,"Norse goddess of love and beauty, rides a chariot pulled by cats"
The Kraken,"Scandinavian sea monster that attacks ships"
A Dragon,"Fire-breathing winged reptile that hoards gold"
A Unicorn,"Magical horse with a single horn on its head"
A Mermaid,"Half-woman half-fish creature who lures sailors"
A Werewolf,"Human who transforms into a wolf at full moon"
A Vampire,"Undead creature that drinks blood and fears garlic"
The Hydra,"Greek serpent that grows two heads when you cut one off"
A Griffin,"Creature with eagle head and lion body"
A Centaur,"Half-human half-horse creature"
The Loch Ness Monster,"Scottish lake monster, nicknamed Nessie"
Bigfoot,"Large hairy ape-man seen in North American forests"
A Leprechaun,"Irish fairy who hides gold at the end of rainbows"
A Banshee,"Irish spirit whose scream predicts death"
The Chupacabra,"Latin American creature that sucks blood from goats"
A Gorgon,"Greek monster sisters with snakes for hair"
A Siren,"Greek creatures whose singing lured sailors to their deaths"
A Harpy,"Greek monster with woman's face and bird body"
The Chimera,"Greek monster with lion head, goat body, snake tail"
A Basilisk,"Serpent king whose gaze kills"
A Goblin,"Small mischievous creature that causes trouble"
An Ogre,"Large ugly man-eating giant"
A Troll,"Scandinavian creature that lives under bridges"
Fenrir,"Norse giant wolf destined to kill Odin"
A Fairy,"Tiny magical winged creature"
The Yeti,"Abominable snowman of the Himalayas"
